"","rep","rep_prioritem1","acc","procedure","studied"
"1","strong","1",0.858156028368794,"test","studied (hits)"
"2","strong","2",0.810283687943262,"test","studied (hits)"
"3","strong","3",0.838652482269504,"test","studied (hits)"
"4","strong","4",0.806737588652482,"test","studied (hits)"
"5","strong","5",0.835106382978723,"test","studied (hits)"
"6","weak","1",0.420710908476866,"test","studied (hits)"
"7","weak","2",0.497391084093212,"test","studied (hits)"
"8","weak","3",0.548184734886863,"test","studied (hits)"
"9","weak","4",0.495808004052685,"test","studied (hits)"
"10","weak","5",0.495280310705843,"test","studied (hits)"
